title,description,keywords,url
Can we say 'you' to artifacts: personhood and creation in a technological world,"Talk given by Dr Michael Burdett as part of short course 36: Robots, Reality and Religion",artificial intelligence; burdett; faraday; human; identity; reality; religion; robot; science; technology,https://sms.cam.ac.uk/media/2352319
Caring for Creation and the Poor,Talk given by Dr Rene Padilla as part of short course 11,caring; creation; faraday; padilla; poor; religion; science,https://sms.cam.ac.uk/media/1216181
Caring for Creation: Why Bother?,"Talk given by Dr Ruth Valerio as part of SC29, January 2015",care; creation; environment; faraday; religion; science; valerio; why,https://sms.cam.ac.uk/media/1906792
"Chance, Necessity and Evolution",Talk given by Prof. Ken Miller as part of summer course 2,chance; evolution; faraday; miller; necessary; necessity; religion; science,https://sms.cam.ac.uk/media/1230339
Charles Raven (1885-1964): Professor of Divinity and Promoter of Science,"Research seminar given by Revd Dr Ian Randall, February 2015",divinity; faraday; professor; promoter; randall; raven; science; science; theology,https://sms.cam.ac.uk/media/1911850
Christian Moral Reasoning: How can it help (and should it?),Talk given by Prof. Neil Messer as part of Short Course No. 10: Ethics on the Frontiers of Science: Religion – Help or Hindrance?,christian; ethics; faraday; messer; morals; religion; science,https://sms.cam.ac.uk/media/2756448
"Cognitive Science, Philosophy and Faith","Talk given by Prof. Roger Trigg as part of short course 27, April 2014",cognition; cognitve science; faith; faraday; neuroscience; philosophy; religion; science; trigg,https://sms.cam.ac.uk/media/1703592
"Comets and Asteroids, Moon and Mars, Science and Faith - and Life and Death",Research Seminar given by Prof Monica Grady,astronomy; catholic; comets; faraday; grady; religion; science,https://sms.cam.ac.uk/media/2188315
"Communnication, God and Machines","Lecture given by Prof. Richard Harper on the Robots, Reality and Religion Short Course",communication; faraday institute; god; harper; machines; religion; robots,https://sms.cam.ac.uk/media/2360416
"Complexity, Emergence and God",Research seminar given by Prof. Barbara Drossel,complexity; drossel; emergence; faraday; god; religion; science,https://sms.cam.ac.uk/media/1261927
"Complex Systems, Emergence and God","Talk given by Prof. Barbara Drossel as part of Summer Course 9, 2014",complex; complexity; drossel; emergence; faraday; god; religion; science; systems,https://sms.cam.ac.uk/media/1777115
Conceptions of Sin and the Nature of Social Life: Anthropology and the Theology of Atonement,Talk given by Professor Joel Robbins,anthropology; atonement; faraday; religion; robbins; social anthropology; theology,https://sms.cam.ac.uk/media/2665582
Concepts of Emergence in Science and Religion,Research seminar given by Prof Philip Clayton,clayton; emergence; faraday; religion; science,https://sms.cam.ac.uk/media/2709032
Consciousness in Psychological and Christian Perspectives,Talk given by Dr William Struthers as part of Summer Course 5,5; bill; christian; consciousness; faraday institute; perspective; psychological; psychology; religion; science; struthers; summer course,https://sms.cam.ac.uk/media/867115
Constructing Evolutionary History from Genetics and Palaeontology,Talk given by Dr Robert Asher as part of short course 22,asher; evolution; faraday; genetics; history; palaeontology; religion; science,https://sms.cam.ac.uk/media/1314467
Consumption and Wellbeing: Christian Values and Sustainability,Research seminar given by Sir Brian Heap,christian; consumption; faraday; heap; religion; science; sustainability; values; wellbeing,https://sms.cam.ac.uk/media/1297247
"Contingency, Convergence and Hyper-astronomical Numbers in Biological Evolution","Research Seminar given by Dr Ard Louis, Tuesday 29th April 2014.",evolution; faraday; louis; religion; science,https://sms.cam.ac.uk/media/1708733
Cosmic Fine-Tuning: Discerning Purpose at the Limits of Science,Lecture given by Prof. Tim O'Connor as part of Summer Course 6,6; cosmic; discerning; faraday; fine-tuning; limits; o'connor; purpose; religion; science,https://sms.cam.ac.uk/media/1160736
Cosmology and Faith,Talk given by Revd Dr Rodney Holder as part of short course 33 (Science and Religion in the Local Church),church; cosmology; faith; faraday; holder; religion; science; universe,https://sms.cam.ac.uk/media/2155558
Cosmology and Fine Tuning: Three Approaches,Lecture given as by Prof. Robin Collins as part of the Lemaitre Conference on 10 April 2011,approaches; collins; cosmology; faraday; fine-tuning; lemaitre; religion; robin; science; three,https://sms.cam.ac.uk/media/1140462
Cosmology and the Anthropic Principle,Talk given by Revd Dr Rodney Holder as part of Summer Course 12,anthropic; cosmology; faraday; holder; physics; religion; science,https://sms.cam.ac.uk/media/2546696
Cosmology and the Christian Doctrine of Creation,Talk given by Revd Dr Rodney Holder as part of Summer Course 12,cosmology; creation; faraday; genesis; god; holder; religion; science; universe,https://sms.cam.ac.uk/media/2540877
Could a robot ever have real human identity?,Talk given by Prof. John Wyatt at Summer Course 2018,faith; faraday; identity; religion; robots; science; wyatt,https://sms.cam.ac.uk/media/2817939
Could There Be a Theory of Everything?,"Talk given by Prof. Tim O'Connor at Summer Course 8, 7-13th July 2013",faraday; metaphysics; o'connor; religion; science,https://sms.cam.ac.uk/media/1549237
Creation and Contemporary Science: The Legacy of Thomas Aquinas,Research Seminar given by Dr William Carroll on 7th February 2012,aquinas; carroll; contemporary; creation; faraday; legacy; religion; science,https://sms.cam.ac.uk/media/1213043
Creation and Evolution,Lecture given by Prof. Keith Fox as part of Summer Course 6,6; creation; evolution; faraday; fox; religion; science,https://sms.cam.ac.uk/media/1161328
Creation and Evolution - An Overview,Talk given by Prof. Keith Fox on Summer Course 2018,creation; evolution; faith; faraday; fox; science,https://sms.cam.ac.uk/media/2795690
Creation and Evolution - how do they relate?,Talk given by Prof. Keith Fox at Summer Course 12 - 2017,creation; evolution; faraday; fox; religion; science,https://sms.cam.ac.uk/media/2554892
Creation and Evolution in the Muslim World,Talk given by Prof. Nidhal Guessoum as part of Summer Course 13,creation; evolution; faraday; guessoum; islam; muslim; qu'ran; religion; science,https://sms.cam.ac.uk/media/2866374
Creation Care and the Gospel: Ed Brown,"Talk given by Ed Brown at the launch of the Lausanne Movement book Creation Care and the Gospel, St Ethelburga's Centre for Reconciliation and Peace, London, 6 June 2016",creation care; ed brown; lausanne,https://sms.cam.ac.uk/media/2266658
Creation Care and the Gospel: Las Newman,"Talk given by Las Newman at the launch of the Lausanne Movement book Creation Care and the Gospel, St Ethelburga's Centre for Reconciliation and Peace, London, 6 June 2016",creation care; las newman; lausanne,https://sms.cam.ac.uk/media/2266650
Creation Care - Why Bother?,"Talk given by Dr Hilary Marlow as part of the Southampton Day Course, 30 November 2013",care; creation; faraday; marlow; religion; science; why,https://sms.cam.ac.uk/media/1650229
"Creation, Evil and Time",Talk given by Revd Dr John Polkinghorne as part of short course 2,creation; evil; faraday; polkinghorne; religion; science; time,https://sms.cam.ac.uk/media/1265728
Creation ex Nihilo and What It Means for Science,Faraday Institute Research Seminar given by Dr Janet Soskice on 9th June 2009,creation; faraday institute; janet; nihilo; religion; research seminar; science; soskice,https://sms.cam.ac.uk/media/641529
Creation in the Bible and in Science,"Talk given by Dr Mark Harris as part of summer course 9, July 2014",bible; creation; faraday; harris; religion; science; science; theology,https://sms.cam.ac.uk/media/1763955
Creationism and Intelligent Design,Talk given by Prof. Darrel Falk as part of Summer Course 3,bible; creationism; falk; faraday; intelligent design; religion; science,https://sms.cam.ac.uk/media/2765899
Creationism and Intelligent Design,Talk given by Prof. John Bryant as part of short course 5,bryant; creaationism; evolution; faraday; intelligent design; religion; science,https://sms.cam.ac.uk/media/1260776
Creation or Evolution?,Talk given by Prof. John Bryant as part of summer course 7,bible; bryant; creation; evolution; faraday; religion; science,https://sms.cam.ac.uk/media/1279905
Creation or Evolution - Do we have to choose?,"Talk given by Dr Denis Alexander at Southampton Day course, 30 November 2013",alexander; creation; evolution; faraday; religion; science,https://sms.cam.ac.uk/media/1653444
Creation or Evolution: Do we have to choose?,Updated talk given by Dr Denis Alexander as part of short course 33 (Science and Religion in the Local Church),alexander; choose; church; creation; evolution; faraday; religion; science,https://sms.cam.ac.uk/media/2155595
Critical Realism in Science and Religion,Talk given by Revd Dr John Polkinghorne KBE FRS as part of summer course 3,critical; faraday; polkinghorne; realism; religion; science,https://sms.cam.ac.uk/media/1212898
Current Ethical Challenges in Modern Biology,Lecture given by Prof. Keith Fox as part of Short Course 14 (Science and Religion in Schools),biology; challenges; current; ethical; faraday institute; fox; keith; modern; religion; schools; science,https://sms.cam.ac.uk/media/541909
Current Ethical Challenges in the Biosciences,Lecture given by Prof. John Bryant as part of short course 17: Science and Religion in Schools,biosciences; bryant; challenges; current; ethical; faraday institute; john; religion; schools; science,https://sms.cam.ac.uk/media/753187
Current Issues in the Science-Religion Debate in the Islamic World,Faraday Institute Research Seminar by Prof. Mehdi Golshani,current; debate; faraday institute; golshani; in; in; islamic; issues; mehdi; religion; research seminar; science; the; the; world,https://sms.cam.ac.uk/media/532543
"Damaged Brain, Wounded Soul?",Talk given by Revd Dr Joanna Collicutt as part of short course 32 (The Believing Brain),belief; brain; collicutt; damage; faith; faraday; mind; religion; science; soul,https://sms.cam.ac.uk/media/2155511
Darwin and the Other Christian Tradition,Lecture given by Prof. Ernan McMullin as part of Summer Course 5,5; christian; darwin; ernan; faraday institute; mcmullin; other; religion; science; summer course; tradition,https://sms.cam.ac.uk/media/868836
"Darwin, Dawkins and the Divine: Why is biology at the heart of the New Atheism","Talk given by Prof Alister McGrath at Faraday Public Lecture, 19th September 2014",faraday; mcgrath; religion; science,https://sms.cam.ac.uk/media/1807076
"Darwin: Evolution, Genes and God","Talk given by Prof. John Bryant as part of Summer Course 9, July 2014",biology; bryant; darwin; evolution; faraday; genes; genetics; god; religion; science; theology,https://sms.cam.ac.uk/media/1772517
"Darwinism, Eugenics and Religion",Talk given by Prof. Ed Larson as part of summer course 7,darwinism; eugenics; faraday; larson; religion; science,https://sms.cam.ac.uk/media/1290852
Darwin's Loss of Faith,Research seminar by Dr John van Wyhe,darwin; faith; faraday; loss; religion; science; wyhe,https://sms.cam.ac.uk/media/1259225
Dating Biblical Events Using Science,Talk given by Prof. Sir Colin Humphreys at Faraday Institute Summer Course 12 - 2017,bible; crucifixion; dating events; faraday; humphreys; science,https://sms.cam.ac.uk/media/2551454
"Delusions, positive illusions, and jumps to conclusions",Talk by Dr Ryan McKay as part of short course 32 (The Believing Brain),belief; believing; brain; delusions; faith; faraday; illusions; mckay; mind; neuroscience; religion; science,https://sms.cam.ac.uk/media/2151288
