title,description,keywords,url
The Religious Beliefs of Scientists - A Sociological Analysis,Research seminar given by Prof. Elaine Howard Ecklund,belief; ecklund; faraday; religion; religious; science; scientist; sociological; sociology,https://sms.cam.ac.uk/media/1223078
The Religious Origins of Modern Science,Talk given by Prof. Peter Harrison as part of Summer Course 1,bible; faraday; harrison; origin; religion; science,https://sms.cam.ac.uk/media/2719586
The Religious Roots of the Idea of Scientific Laws,Research Seminar given by Dr Lydia Jaeger on 23rd February 2010,faraday institute; idea; laws; religion; religious; research seminar; roots; science; scientific,https://sms.cam.ac.uk/media/741572
The Role of God in Modern Science: Models for Relating Science and Religion,Talk given by Prof. Alan Padgett as part of summer course 2,faraday; god; model; padgett; relate; religion; role; science,https://sms.cam.ac.uk/media/1252666
The Role of Religion in the Emergence of Modern Science,Lecture given by Prof. Lawrence Principe as part of Faraday Institute Summer Course 4,emergence; faraday institute; lawrence; modern; principe; religion; role; science,https://sms.cam.ac.uk/media/655617
The role of religion on human responses to natural disasters,Talk given by Revd Dr Roger Abbott as part of Summer Course 13,abbott; disasters; environment; faraday; religion; response; science,https://sms.cam.ac.uk/media/2879384
The Role of the Bible in the Emergence of Modern Science,Talk given by Prof. Peter Harrison as part of Summer Course 1,bible; faraday; harrison; history; religion; science; science,https://sms.cam.ac.uk/media/2719605
The Role of Thought Experiments in Science and Theology,Research Seminar given by Prof Niels Gregersen on 19th February 2013,experiment; faraday; gregersen; science; theology; thought,https://sms.cam.ac.uk/media/1424248
The Science and Ethics of Caring for the Environment,Talk given by Prof. Calvin DeWitt as part of summer course 2,caring; dewitt; environment; ethics; faraday; religion; science,https://sms.cam.ac.uk/media/1232076
The Science and Theology of Natural Disasters,Talk given by Dr Vinoth Ramachandra as part of short course 5,disaster; faraday; natural; ramachandra; religion; science; theoogy,https://sms.cam.ac.uk/media/1259368
The science of children's belief in God and the supernatural,Talk given by Dr Emily Reed Burdett as part of Summer Course 10,belief; burdett; children; faith; faraday; god; reed; religion; science; supernatural,https://sms.cam.ac.uk/media/2046313
The science of global environmental changes,Talk given by Dr Nicholas Ray as part of Summer Course 10,change; climate; environment; faraday; global; ray; religion; science,https://sms.cam.ac.uk/media/2034055
The Science-Religion Dialogue in the 21st Century - a Biologist's Perspective,Lecture given by Prof. John Bryant as part of Short Course 18,biologist; bryant; dialogue; faraday; faraday institute; john; perspective; religion; science; short course 18,https://sms.cam.ac.uk/media/1071076
The scientific naturalists are declaring the glory of God: Theistic support from unlikely places.,Seminar talk given by Prof. Paul Copan,faraday; god; naturalists; religion; science; theistic,https://sms.cam.ac.uk/media/2430401
The Search for Extra-Terrestial Life,Talk given by Revd Dr Rodney Holder,alien; extra-terrestial; faraday; holder; life; planet; religion; science; search,https://sms.cam.ac.uk/media/1295083
The Search for Extra-Terrestrial Intelligence,Talk given by Revd Dr David Wilkinson as part of summer course 2,extraterrestrial; faraday; intelligence; religion; science; search; wilkinson,https://sms.cam.ac.uk/media/1252000
"The Search for Meaning Amidst Cosmic Annihilation, Transhumanism and the Last Judgement",Seminar given by Dr Michael Burdett,burdett; christianity; faraday; meaning; religion; transhumanism,https://sms.cam.ac.uk/media/2764307
The Secret History of Victorian Evolution,"Research Seminar given by Prof. Jim Secord, Dept of History and Philosophy of Science, University of Cambridge",evolution; faraday institute; history; history; jim; philosophy; research seminar; science; secord; secret; victorian,https://sms.cam.ac.uk/media/567171
The significance of hearing voices,Talk given by by Canon Prof. Chris Cook as part of short course 32 (The Believing Brain),belief; brain; cook; faith; faraday; hearing; religion; science; voices,https://sms.cam.ac.uk/media/2166321
The 'soul' in the New Testament,Talk given by Revd Dr Mike Thompson as part of short course 32 (The Believing Brain),belief; bible; brain; faith; faraday; new testament; religion; science; soul; thompson,https://sms.cam.ac.uk/media/2166546
The Stem Cell Controversy,Lecture given by Dr Cherryl Hunt as part of Faraday Institute Summer Course 4,cell; cherryl; controversy; faraday institute; hunt; religion; science; stem; summer course,https://sms.cam.ac.uk/media/686797
The story in our genes,"Talk given by Graeme Finlay as part of the New Zealand Conference, 2009",faith; faraday; finlay; genes; genetics; religion; science,https://sms.cam.ac.uk/media/2766251
"""The trees of the field shall clap their hands""(Isaiah 55:12): What does it mean to say that creation praises the Creator",Research seminar talk given by Dr Mark Harris 20/1/2015,creation; faraday; harris; religion; science,https://sms.cam.ac.uk/media/1896522
The Universe in Trinitarian Perspective,Talk given by Revd Dr John Polkinghorne as part of short course 3,faraday; perspective; polkinghorne; religion; science; trinitarian; universe,https://sms.cam.ac.uk/media/1265155
The View from Theology,"Talk given by Nicola Hoggard-Creegan and Stephen Garner as part of the New Zealand Course, 2009",creegan; dialogue; faraday; garner; hoggard; religion; science; theology,https://sms.cam.ac.uk/media/2770953
"Three Meanings of Climate Change: Presaging Apocalypse, Constructing Babel, Lamenting Eden",Research Seminar given by Prof. Mike Hulme,apocalypse; babel; change; climate; eden; faraday; hulme; lament; meaning; religion; science,https://sms.cam.ac.uk/media/1227538
Transcending Dawkins' God: Renewing the Interface between Science and Faith,Talk given by Dr Denis Alexander as part of short course 5,alexander; dawkins; faith; faraday; god; interface; religion; science; transcending,https://sms.cam.ac.uk/media/1260980
Transcending Nature? Christianity and Ecomodernism,Seminar talk given by Dr Jonathan Moo,christianity; ecology; environment; moo; nature; science,https://sms.cam.ac.uk/media/2519988
Truth in Science: Proof and Persuasion from Copernicus to the Galileo Affair,"Talk given by Prof. Owen Gingerich at Summer Course 8, 7-13th July.",copernicus; faraday; galileo; gingerich; religion; science,https://sms.cam.ac.uk/media/1550689
Truth or True? - Faith and Science Rubbing Shoulders,"Talk given by Jeff Tallon as part of the New Zealand Conference, 2009",faith; faraday; religion; science; tallon; truth,https://sms.cam.ac.uk/media/2766215
Truth Telling in the Practice of Science,Talk given by Dr Denis Alexander as part of summer course 1,alexander; faraday; practice; religion; science; truth,https://sms.cam.ac.uk/media/1266574
Understanding Genisis in context,Talk given by Professor John Walton on Summer Course 2018,bible; creation; faith; faraday; genesis; science; walton,https://sms.cam.ac.uk/media/2804323
Unsustainable Agriculture and Land Use,Talk given by Prof. Calvin DeWitt as part of the Unsustainability Day Conference,agriculture; dewitt; environment; faraday; religion; science; unsustainability,https://sms.cam.ac.uk/media/2760675
Unsustainable Energy,Talk given by Prof. Ian Arbon as part of the Unsustainability Day Conference,arbon; energy; environment; faraday; religion; science; unsustainability,https://sms.cam.ac.uk/media/2760691
Values and Science - What is Science for?,Research Seminar given by Prof. Tom McLeish,faraday; mcleish; religion; science; values,https://sms.cam.ac.uk/media/1226130
Victor Stenger's Scientific Critique of Christian Belief,Research Seminar given by Prof. David Bartholomew on 23rd November 2010,bartholomew; belief; christian; critique; faraday; religion; science; scientific; stenger; victor,https://sms.cam.ac.uk/media/1081620
Volcanic Disasters and Christian Response,"Talk given by Dr Amy Donovan as part of Short Course 47: Disasters, Faith and Resilience",christian; disaster; donovan; faith; faraday; religion; science; volcano,https://sms.cam.ac.uk/media/2756576
Was Galileo Guilty?,Talk given By Prof. Ernan McMullin as part of summer course 2,faraday; galileo; guilty; history; mcmullin; religion; science,https://sms.cam.ac.uk/media/1231809
What are the Ethical Implications implied by the Imago Dei Doctrine?,Talk given by  Prof. David Cook as part of summer course 2,cook; doctrine; ethical; ethics; faraday; imago dei; religion; science,https://sms.cam.ac.uk/media/1250338
What are the similarities between scientific and theological explanations?,"Research seminar given by Prof. Rene van Woudenberg, April 2015",explanation; faraday; religion; science; scientific; theolgocial; theology; van woudenberg,https://sms.cam.ac.uk/media/1968178
What does it mean to be a Person?  Matters of Life and Death,Talk given by Prof. John Wyatt as part of summer course 7,death; ethics; faraday; life; person; religion; science; wyatt,https://sms.cam.ac.uk/media/1289911
What does neuroscience teach us which is helpful for those of faith?,Talk given by Alasdair Coles at Summer Course 12,coles; faith; faraday; neuroscience; religion; science,https://sms.cam.ac.uk/media/2545022
What does science learn from theology and what does theology learn from science?,Talk given by Prof. Ian Hutchinson as part of summer course 13,constrain; faraday; hutchinson; learn; limit; religion; science; scientism; theology,https://sms.cam.ac.uk/media/2786668
What is a Person?  Matters of Life and Death,Public Lecture given by Prof. John Wyatt,death; faraday; life; person; religion; science; wyatt,https://sms.cam.ac.uk/media/1208219
What Scientists Believe: Global Perspectives on Science and Faith,Talk given by Prof. Elaine Ecklund as part of Summer Course 11,belief; ecklund; faith; faraday; global; religion; science; scientists,https://sms.cam.ac.uk/media/2315617
When is enough enough? Dying well in an age of technological possibilities.,"Talk given by Prof. John Wyatt as part of the joint Faraday Institute and Woolf Institute day conference ""Extending life at any cost?""",dying; end of life; faith; faraday institute; religion; science; woolf institute; wyatt,https://sms.cam.ac.uk/media/2674143
Who are we?  Biblical and Theological perspectives on what it means to be human,"Talk given by Dr Hilary Marlow as part of short course 26, January 2014",bible; biblical; faraday; human; marlow; religion; science; theological; theology; who,https://sms.cam.ac.uk/media/1654882
Whose Earth? Faith and the conservation of global biodiversity,"Talk by Darren Evans as part of the Hull day course, February 2016",biodiversity; earth; environment; evans; faith; faraday; hull; religion; science,https://sms.cam.ac.uk/media/2217449
Why care for creation?,Talk given by Dr Ruth Valerio,creation care; environment; faraday; lifestyle; religion; science; valerio,https://sms.cam.ac.uk/media/2420944
Why care for creation? Christianity and the environment,Talk given by Rt Revd James Jones as part of Summer Course 11,christian; creation; environment; faraday; jones; religion; science,https://sms.cam.ac.uk/media/2294134
Why Care for the Environment?,Talk given by Prof. Bob White as part of short course 5,care; environment; faraday; religion; science; white,https://sms.cam.ac.uk/media/1260131
Why does matter matter to God?,Talk given by Prof. Russell Cowburn at Summer Course 12 - 2017,cowburn; faraday; god; nanotechnology; science,https://sms.cam.ac.uk/media/2551760
"Why does nature suffer? Evolution, evil and the goodness of God","Talk given by Prof. Keith Ward as part of short course 31, March 2015",evil; evolution; faraday; god; goodness; nature; religion; science; suffer; suffering; theology; ward,https://sms.cam.ac.uk/media/1968397
Why do scientific writers sometimes act irrationally when faced with religion? An historical survey from the Reformation to Reductionism,Talk given by Dr Allan Chapman as part of short course 8,chapman; faraday; history; irrational; reductionism; reformation; religion; science; writers,https://sms.cam.ac.uk/media/1226892
Why every Christian should wish they were a scientist,Talk given by Dr Ruth Bancewicz as part of a professional workshop on science and faith in the local church.,awe; bancewicz; christian; church; faraday; religion; science; scientist; wonder,https://sms.cam.ac.uk/media/2653795
"Why History Matters: Debunking the 'Warfare"" View of Science and Religion","Talk given by Prof. Ted Davis at Summer Course 8, Monday 8th July 2013",davis; faraday; religion; science,https://sms.cam.ac.uk/media/1541467
Why is Creationism so popular in the USA?,Talk given by Prof. Ronald Numbers as part of short course 7,america; creationism; faraday; numbers; popular; religion; science; usa,https://sms.cam.ac.uk/media/1228544
Why is Physics Possible?,Talk given by Revd Dr John Polkinghorne as part of short course 6,faraday; god; physics; polkinghorne; possible; religion; science; why,https://sms.cam.ac.uk/media/1257411
William Carey and the Serampore College: Science and Religion in 19th Century India,Research seminar given by Dr Sujit Sivasundaram,19th; carey; century; faraday; india; nineteenth; religion; science; serampore; sivasundaram,https://sms.cam.ac.uk/media/1270211
Will life on other planets share our genetic code?,Cis Faraday Public Lecture by Prof Stephen Freeland on 21st November 2013,extraterrestrial; faraday; freeland; genes; religion; science,https://sms.cam.ac.uk/media/1618721
zoe test,Test audio,faraday; zoe,https://sms.cam.ac.uk/media/2756367
Zoe_test,will audio only work on our website?,test,https://sms.cam.ac.uk/media/2708821
